date,weekday,start,end,venue,title,organizer,category,source_url,status,ticket_url,description,duration_source
2026-08-01,Lördag,18:00,18:30,"Korsbetingen, Östra Hansegatan 17","Kransnedläggning, Korsbetingen",,Övrigt,https://www.medeltidsveckan.se/programme/,,,"Traditionsenlig kransnedläggning vid Korsbetningen. Medeltidsveckan utspelar sig kring år 1361, då den Danska kung Valdemar Atterdag invaderade ön. Till minne av de som föll i slaget utanför muren invigs varje Medeltidsvecka med en minnesstund och kransnedläggning vid korsbetningen där massgraven för de fallna, främst bönder begravdes.",source
2026-08-01,Lördag,19:00,20:00,Medeltidsarenan,Tornerspel (Visby),,,https://www.medeltidsveckan.se/programme/,Köp biljett,https://www.nortic.se/ticket/show/319680,"Upplev de prisbelönta tornerspelen på Gotland! Förflyttas till en värld av dundrande hovar, vinande pilar och häpnadsväckande riddardåd. Se de flerfaldiga guldmedaljörerna tävla i ett skådespel fyllt med hästar, riddare, bågskyttar, fanfarer och spänning.Tornerspelen är en älskad tradition på Gotland. En oförglömlig upplevelse för hela familjen. Tornerspelen har premiär i juni och pågår varje vecka under juli och under hela Medeltidsveckan i augusti.Säkra dina biljetter nu och bli en del av det historiska äventyret!Lite mer om spelplatser och schemaTornerspelen har premiär tisdagen den 30 juni och hela premiärveckan är det halva priset! Spelen genomförs flera gånger i veckan, oftast tisdagar och torsdagar, under perioden 30 juni – 8 augusti, på Medeltidsarenan, Strandgärdet i Visby. Föreställningarna är ungefär en timme och 20 minuter (längden varierar något beroende på sammandrabbningar och dueller). Passa på och njut av stämningen före spelet! Arenaområdet öppnar redan klockan 17.30. Handelsbod och pop-up marknad, grill med mat och dryck, meet and greet med riddare, hästar och bågskyttar, och lekområde med toaletter, halmhoppborg och aktiviteter!Det sätts även upp två tornerspel på landsbygden. Det första lördagen den 18 juli på Bungemuseet (ej i Visby). Det andra, lördagen den 25 juli i Lojsta (ej i Visby), är premiär för säsongens Eldspel med lite extra spänning!Under Medeltidsveckan (2-9 augusti) behövs giltigt Medeltidsband för festivalen, utöver platsbiljett.Adresser:Visby: Medeltidsarenan: Strangärdet, Lasarettsgatan, 621 55 VisbyBunge: Bunge Annex 140, 624 64 FårösundLojsta: Lojsta Slott 487, 623 59 Hemse En produktion av Medeltidsveckan på Gotland i samarbete med Riddarsällskapet Torneamentum, Gutars Bågskyttar och Fanfare Gotlandica.",source
2026-08-01,Lördag,21:00,22:00,S:ta Karin,TRiX ger – Eldiaden,Gycklargruppen TRiX,Eldshow,https://www.medeltidsveckan.se/programme/,Köp biljett,https://www.nortic.se/ticket/show/344925,"Gycklargruppen TRiX i ett efterlängtat samarbete med Bröderna Sköld – då blir det strid.

Ett rykande varmt välkommen till “Eldiaden” och slaget om Troja. För många århundraden sedan berättades det om Akilles vrede under kung Agamemnons krig mot trojanerna.

– Den vackra Helena av Sparta har flytt med Paris, men hennes förlovade, Menelaos, har enat hela Grekland i att slåss för att återfå hennes hand. Många hjältar står och faller under krigets nio långa år, men Iliaden, som utspelar sig under det allra sista året, är förmodligen antika Greklands äldsta bevarade litterära verk.

I sagan används eld som en liknelse, men i Gycklargruppen TRiX händer har hela sagan fattat eld. Kom och följ med i historiens ebb och flod, där vreden flammar upp, våra hjältar drabbar samman och gudarna har minst ett finger med i spelet.

Det blir en spektakulär föreställning där eldkonstnärernas skicklighet sätts på prov, häftiga scener byter av varandra och stridens hetta aldrig är långt bort.

Historien sägs vara dömd att upprepa sig, så följ med, kära publik, och lär av antikens äldsta epos genom en episk eldföreställning.

English

Gycklargruppen TRiX in a long-awaited collaboration with the Sköld Brothers – prepare for battle.

A smoking hot welcome to “Eldiaden” and the Battle of Troy. Many centuries ago, tales were told of Achilles’ rage during King Agamemnon’s war against the Trojans.

– The beautiful Helen of Sparta has fled with Paris, but her betrothed, Menelaus, has united all of Greece to fight for her return. Many heroes rise and fall during the nine long years of war, but the Iliad, set during the very last year, is likely ancient Greece’s oldest surviving literary work.

In the saga, fire is used as a metaphor, but in the hands of TRiX, the entire story has caught fire. Come along through the ebb and flow of history, where rage flares up, our heroes clash, and the gods always have a hand in the game.

It will be a spectacular performance where the skills of the fire artists are put to the test, powerful scenes follow one another, and the heat of battle is never far away.

History is said to be doomed to repeat itself, so join us, dear audience, and learn from antiquity’s oldest epic through an epic fire show.",source
2026-08-02,Söndag,08:15,10:30,Visby domkyrka Sankta Maria,Procession från domkyrkan till S:t Clemens,Visby domkyrka Sankta Maria,Övrigt,https://www.medeltidsveckan.se/programme/,,,Morgonbönen börjar klockan 9:30 i S:t Clemens ruin. Den som vill kan följa med på procession tillbaka till domkyrkan.,source
2026-08-02,Söndag,09:00,14:00,Hantverkspaviljongen Strandgärdet,Naturliga skäggvårdsprodukter,Elle,Övrigt,https://www.medeltidsveckan.se/programme/,Köp biljett,https://www.nortic.se/ticket/show/345956,"DET HÄR GÖR VI:

Schampo-bars

Rakkräm

Raktvål

Skäggolja

Skäggvax

– Kursmaterialet ingår i kursavgiften

– Ingen förkunskap krävs

– Kursens längd 5 tim.

– Kursavgift: 1495 kr.

Varmt välkommen – med kärlek från naturen!",source
2026-08-02,Söndag,09:00,12:00,Kapitelhusgården,Hantverkshörna,Kapitelhusgården,Workshop,https://www.medeltidsveckan.se/programme/,,,"Kom och hantverka tillsammans på Kapitel! Kaffe och god stämning ingår. Varje dag mellan 9 och 12 har vi öppet för en ’drop-in’ hantverkshörna. Ta med ditt eget hantverk, häll upp en kopp kaffe och sitt i den mysiga stämningen på gården. Ingen föranmälan krävs. Swisha 35 kr i dörren för valfri dryck – påtår 20 kr.",source
2026-08-02,Söndag,09:00,21:00,Visby domkyrka Sankta Maria,Visby domkyrka Sankta Maria,Visby domkyrka Sankta Maria,Övrigt,https://www.medeltidsveckan.se/programme/,,,Mitt i Hansestaden Visby ligger Visby domkyrka Sankta Maria. Domkyrkan som invigdes år 1225 är ett av Gotlands största besöksmål och samtidigt ett rum för stillhet och andakt.,source
2026-08-02,Söndag,09:30,10:30,S:t Clemens,Morgonbönen i S:t Clemens ruin.,,Övrigt,https://www.medeltidsveckan.se/programme/,,,Morgonbönen börjar klockan 9:30 i S:t Clemens ruin. Den som vill kan följa med i procession tillbaka till domkyrkan.,source
2026-08-02,Söndag,10:00,14:00,Festivalområde Strandgärdet,Gantarnas läger,,Övrigt,https://www.medeltidsveckan.se/programme/,,,"Öppet läger.

Testa på bågskyte i Gantarnas läger, bakom Medeltidsarenan, vi Gutars bågskyttars läger.",source
2026-08-02,Söndag,10:00,12:00,Fightingarenan,Kurs i stavfäktning,Hörsägen,Workshop,https://www.medeltidsveckan.se/programme/,Köp biljett,https://www.nortic.se/ticket/show/343760,"Välkommen på kurs i stavfäktning!

Under två timmar lär du dig grunderna i att slåss med trästav, baserat på historisk europeisk kampkonst. Kursen lämpar sig för både totala nybörjare på historisk stridskonst och de med erfarenhet av att träna HEMA.

Lärare är Tommy Fredriksson från Hörsägen och Condottieri med över 15 års erfarenhet från HEMA.

Åldersgräns 11 år.",source
