date,weekday,start,end,venue,title,organizer,category,source_url,status,ticket_url,description,duration_source
2026-08-01,Lördag,17:00,18:30,Nordergravar,Förfest,,Inofficiellt,https://imtv.se/,,,Allmänt galej i Nordergravar för folk som anlänt tidigt till veckan.,inofficial/inferred
2026-08-02,Söndag,10:00,11:30,Okänd plats,Inofficiella pinen iår igen,Agnbor,Inofficiellt,https://imtv.se/,,,"Jo du läste rätt! Vi är tillbaka med en ny inofficiell inofficiell pin. Om du fångat Snatten och Fubben så blir trion komplett med årets(ännu hemliga) marginalia. Om du vill stämma träff eller har frågor kan du maila da.punk@hotmail.se, alternativt går det bra att haffa mig i rosornas stad(är generellt sett gulklädd)",inofficial/inferred
2026-08-02,Söndag,10:00,11:30,Österport,Ringmuren runt,,Inofficiellt,https://imtv.se/,,,"Fiffel med följe joggar runt ringmuren. Samling vid Österport. Länk

Mer info: https://www.facebook.com/groups/45607418150",inofficial/inferred
2026-08-02,Söndag,16:00,17:30,Kärleksporten,Inofficiella invigningen,Gycklare,Inofficiellt,https://imtv.se/,,,"Vi inviger veckan med icke programmade artister och avslutar med kast i havet. Vid kärleksporten. Länk

Mer info: https://www.facebook.com/share/12MhoLYb8xC/",inofficial/inferred
2026-08-03,Måndag,10:00,11:30,Österport,Ringmuren runt,,Inofficiellt,https://imtv.se/,,,"Fiffel med följe joggar runt ringmuren. Samling vid Österport. Länk

Mer info: https://www.facebook.com/groups/45607418150",inofficial/inferred
2026-08-03,Måndag,14:00,15:30,Nordergravar,Barbarbrottning II x II,Marco,Inofficiellt,https://imtv.se/,,,"Barbarerna arrangerar Barbarbrottning för andra +II gången sedan år 642. Brottning sker i form av Submission/""Domination"" wrestling utan viktklasser. Kom för att delta eller se på när årets mästare i Barbarbrottning ska utses! Alla deltagare bidrar med en öl som insats, vinnaren tar hem all öl! Anmälan sker på plats. Plats: Nodregravar Länk

Mer info: https://fb.me/e/4lYLqmEQV",inofficial/inferred
2026-08-03,Måndag,15:30,17:00,Nordergravar,Årliga könsrockspicknicken,Medeltidakönsrock,Inofficiellt,https://imtv.se/,,,"Nordergravar, under en bro - gå ut genom Sankt Göransporten, över Lokebron, och ner under nästa bro!",inofficial/inferred
2026-08-03,Måndag,18:03,19:33,Okänd plats,"Mjödbryggarnas ""hemliga"" smakträff",Mjödfamiljen,Inofficiellt,https://imtv.se/,,,Den galne mjödmannen bjuder upp till mjödprovning och picknick. Du tar med dej ditt av kärlek hembryggda mjöd/mölska/braggott/kryddade kornvin/älgörtskonkokt och alla provar av alla och förlorar sej i ingående diskussioner om jäststammar och stamvörtstyrkor. Mycket trevligt och gott. För detaljer och/eller frågor (så som tex plats mm.) kontakta:morn82 (a) gmail com,inofficial/inferred
2026-08-04,Tisdag,10:00,11:30,Österport,Ringmuren runt,,Inofficiellt,https://imtv.se/,,,"Fiffel med följe joggar runt ringmuren. Samling vid Österport. Länk

Mer info: https://www.facebook.com/groups/45607418150",inofficial/inferred
2026-08-04,Tisdag,12:00,13:30,Kärleksporten,Polypicknic,Calle,Inofficiellt,https://imtv.se/,,,Poly föreningen bjuder in till poly picknic under medeltidsveckan I vår underbara community har vi titt som tätt poly-fika-träffar. Nu i medeltiden bjuder vi in till picknic på rosornas ö. Vi ses på tisdagen den 4:ed:e augusti. Kl 12 00 Vi försöker hitta en plats på strandpromenaden i närheten av Kärleksporten så vi kan breda ut våra mantlar. Kärleksporten är ju den uppenbara den uppenbara platsen 😉 Vi kommer ha ett standard med poly Pride flaggan så du lätt hittar oss. Har du frågor eller vill ringa innan så du hittar rätt ”picknik hög” kan du kontakta Calle på 073-99 39 588 Vill du veta mer om polyföreningen eller bli medlem kan du besöka www.polyforeningen.org Länk,inofficial/inferred
